epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.3159,2.69346,4.37499,1.64637,0.02181,0.53333,0.05836,0.02032,2.71747,3.6685,1.67351,0,0,0
2,4.00751,2.63532,4.43642,1.89611,0.02118,0.53333,0.06777,0.02313,2.80193,3.6671,1.74525,6.99863e-06,6.99863e-06,6.99863e-06
3,4.47571,2.6399,4.38128,1.90925,0.02261,0.53333,0.06737,0.0211,2.84269,3.66609,1.77543,1.37145e-05,1.37145e-05,1.37145e-05
4,4.8153,2.61465,4.31571,1.80821,0.02242,0.53333,0.05118,0.0155,2.85533,3.67192,1.77783,2.01477e-05,2.01477e-05,2.01477e-05
5,5.13526,2.61598,4.35399,1.85734,0.01209,0.33333,0.02592,0.01053,2.92463,3.69655,1.86592,2.6298e-05,2.6298e-05,2.6298e-05
6,5.65472,2.28574,4.44761,1.64424,0.01129,0.33333,0.04786,0.02082,2.92406,3.68498,1.85919,3.21657e-05,3.21657e-05,3.21657e-05
7,5.98666,2.52149,4.38851,1.75948,0.00835,0.26667,0.02494,0.01132,2.91225,3.67615,1.84188,3.77506e-05,3.77506e-05,3.77506e-05
8,6.35155,2.54944,4.39486,1.7075,0.01303,0.33333,0.05741,0.01159,2.79379,3.59592,1.72121,4.30528e-05,4.30528e-05,4.30528e-05
9,6.80661,2.50797,4.33459,1.67973,0.02388,0.6,0.06344,0.01359,2.6928,3.59427,1.70205,4.80722e-05,4.80722e-05,4.80722e-05
10,7.22477,2.3046,4.35436,1.52228,0.01543,0.4,0.05871,0.01297,2.64963,3.58597,1.64349,5.28089e-05,5.28089e-05,5.28089e-05
11,7.67814,2.35351,4.331,1.55722,0.01645,0.4,0.04502,0.01283,2.42923,3.56848,1.46414,5.72628e-05,5.72628e-05,5.72628e-05
12,8.13905,2.20362,4.26986,1.4514,0.01554,0.4,0.06401,0.02071,2.35722,3.58447,1.46749,6.1434e-05,6.1434e-05,6.1434e-05
13,8.60921,2.12693,4.25881,1.47403,0.01838,0.6,0.09976,0.03395,2.24527,3.58316,1.37949,6.53224e-05,6.53224e-05,6.53224e-05
14,9.11248,1.90821,4.16795,1.35036,0.01869,0.6,0.15026,0.05399,2.09759,3.64288,1.30496,6.89281e-05,6.89281e-05,6.89281e-05
15,9.58885,1.92566,4.18797,1.40703,0.01656,0.53333,0.17232,0.09529,2.0061,3.6303,1.25017,7.22511e-05,7.22511e-05,7.22511e-05
16,10.022,1.90075,3.99087,1.43385,0.01675,0.53333,0.17236,0.10236,1.99232,3.60414,1.22918,7.52913e-05,7.52913e-05,7.52913e-05
17,10.4801,1.85539,4.0405,1.32466,0.01654,0.53333,0.15134,0.09603,1.80169,3.5969,1.16368,7.80488e-05,7.80488e-05,7.80488e-05
18,10.891,1.77988,3.94883,1.22727,0.01654,0.53333,0.15134,0.09603,1.80169,3.5969,1.16368,8.05235e-05,8.05235e-05,8.05235e-05
19,11.358,1.82227,3.98641,1.29394,0.01811,0.53333,0.15188,0.10728,1.67618,3.58233,1.13217,8.27155e-05,8.27155e-05,8.27155e-05
20,11.8082,1.80831,3.89293,1.38772,0.01811,0.53333,0.15188,0.10728,1.67618,3.58233,1.13217,8.46247e-05,8.46247e-05,8.46247e-05
21,12.275,1.77924,4.06315,1.27415,0.02351,0.73333,0.27863,0.20937,1.57878,3.5766,1.11133,8.62512e-05,8.62512e-05,8.62512e-05
22,12.7324,1.64851,3.80278,1.21676,0.02351,0.73333,0.27863,0.20937,1.57878,3.5766,1.11133,8.75949e-05,8.75949e-05,8.75949e-05
23,13.2429,1.73572,3.80865,1.29303,0.02452,0.73333,0.28333,0.2101,1.5296,3.58722,1.10972,8.8656e-05,8.8656e-05,8.8656e-05
24,13.8164,1.72488,3.7295,1.29789,0.02452,0.73333,0.28333,0.2101,1.5296,3.58722,1.10972,8.94342e-05,8.94342e-05,8.94342e-05
